appType,dataSize,numContainer,timeCost
bayes,1,2,40961
bayes,2,2,56775
bayes,3,2,37395
bayes,4,3,60841
bayes,5,3,42745
bayes,6,4,59016
bayes,7,5,108514
bayes,8,6,121197
FPGrowth,1,2,52822
FPGrowth,2,2,54055
FPGrowth,3,3,60231
FPGrowth,4,4,78515
FPGrowth,5,4,73750
FPGrowth,6,6,129222
FPGrowth,7,6,190559
FPGrowth,8,6,404662
kmeans,1,2,36162
kmeans,2,2,53295
kmeans,3,3,56624
kmeans,4,3,58587
kmeans,5,4,73418
kmeans,6,6,73143
kmeans,7,6,108701
kmeans,8,6,137682
lda,1,2,37436
lda,2,2,44031
lda,3,3,61548
lda,4,4,63735
lda,5,6,80394
lda,6,6,161151
lda,7,6,1303337
lda,8,6,155200649
svm,1,2,36162
svm,2,2,39801
svm,3,3,56624
svm,4,3,58587
svm,5,4,73418
svm,6,6,73143
svm,7,6,108701
svm,8,6,137682
linear,1,2,40961
linear,2,2,56775
linear,3,2,37395
linear,4,3,60841
linear,5,3,42745
linear,6,4,59016
linear,7,5,108514
linear,8,6,121197
rnn,1,2,283429
rnn,2,2,502468
rnn,3,3,721507
rnn,4,3,940546
rnn,5,4,1159585
rnn,6,6,1378624
rnn,7,6,1597663
rnn,8,6,1816702
autoencoder,1,2,652346
autoencoder,2,2,758135
autoencoder,3,2,863924
autoencoder,4,3,969713
autoencoder,5,3,1075502
autoencoder,6,4,1181291
autoencoder,7,5,1287080
autoencoder,8,6,1392869
lenet,1,2,558336
lenet,2,2,1224688
lenet,3,2,1891040
lenet,4,3,2557392
lenet,5,3,3223744
lenet,6,4,3890096
lenet,7,5,4556448
lenet,8,6,5222800
resnet,1,2,352909
resnet,2,2,702690
resnet,3,2,881752
resnet,4,3,1384089
resnet,5,3,1562332
resnet,6,4,1734119
resnet,7,5,2366049
resnet,8,6,2531214
vgg,1,2,130342
vgg,2,2,207267
vgg,3,2,320429
vgg,4,3,399193
vgg,5,3,439802
vgg,6,4,515496
vgg,7,5,614069
vgg,8,6,584147
